,X,RespondentId,Enroll,Employ,Working,Hrs,Age,Ethnicity,Income,Classification,College,Commute,Alone,Dependents,HoH,Live,FedAid,PA,FreqNightElse,UTEPHomeless,Year,HH3,HH4,AD1,AD1a,AD2,AD3,index,Gender,USDAcat,YR_2019,YR_2020,YR_2021,YR_2022,Ethn_Hisp,Ethn_AIAN,Ethn_Asian,Ethn_Black,Ethn_NHPI,Ethn_White,Ethn_Other,Coll_BSN,Coll_EDU,Coll_ENGN,Coll_HS,Coll_LART,Coll_SCI,Coll_NRS,Coll_PHR,Coll_Other,Coll_NA,Gend_F,Gend_M,Gend_T,Gend_NC,Gend_Other,Gend_PNA,Gendercats
27,27,83001932,Part-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Graduate (Masters),3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,1,1,1,1,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
28,28,83001933,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$40,000 to $49,999",Junior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2019,1,1,1,0,0,1,4,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
30,30,83001938,Full-time,Part-time,NA,NA,2,1,"$40,000 to $49,999",Senior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
31,31,83001940,Full-time,Part-time,NA,NA,3,1,"$30,000 to $39,999",Junior,5,Trolley,No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,0,NA,0,1,3,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
35,35,83001953,Full-time,Part-time,NA,NA,2,1,"$40,000 to $49,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
38,38,83001956,Part-time,Full-time,Off campus,19 hours or less,2,1,"Less than $10,000",Junior,7,Trolley,No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA
39,39,83001958,Part-time,Full-time,On campus,19 hours or less,2,1,"Less than $10,000",Senior,2,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,1,0,NA,1,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
43,43,83001967,Full-time,Part-time,NA,NA,2,1,"$40,000 to $49,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,1,0,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
45,45,83001971,Full-time,Part-time,NA,NA,2,1,"$30,000 to $39,999",Junior,4,Car (alone),No,None,No,On campus,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
46,46,83001972,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$10,000 to $19,999",Senior,4,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,NA,1,1,NA,1,1,4,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
49,49,83001980,Full-time,Part-time,NA,NA,2,4,"$40,000 to $49,999",Junior,5,Bus/Public transportation,No,None,No,Off campus with parents,Grants,No,Rarely,No,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
50,50,83001981,Full-time,Full-time,On campus,More than 19 hours,2,1,"Less than $10,000",Senior,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Work-study,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
53,53,83001985,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,1,0,0,1,4,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
59,59,83001997,Full-time,Full-time,On campus,More than 19 hours,4,3,"$10,000 to $19,999",Doctoral,1,Other,Yes,NA,Yes,Off campus with partner,Grants,Yes,NA,No,2019,1,0,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
60,60,83002001,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Junior,5,Bike,No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2019,1,1,0,NA,1,1,4,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
61,61,83002005,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Senior,3,Bike,No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
62,62,83002007,Full-time,Full-time,On campus,19 hours or less,2,6,"$10,000 to $19,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with partner,Work-study,Yes,NA,Yes,2019,1,0,1,0,1,1,4,NA,Low FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
64,64,83002009,Full-time,Full-time,On campus,More than 19 hours,3,1,"$10,000 to $19,999",Doctoral,3,Car (alone),Yes,NA,Yes,On campus,Grants,Yes,NA,Yes,2019,0,0,1,0,1,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
67,67,83002014,Full-time,Full-time,On campus,19 hours or less,3,1,"$10,000 to $19,999",Graduate (Masters),5,Car (someone drives to campus and picks you up),No,None,Yes,Off campus with parents,Grants,Yes,NA,Yes,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
68,68,83002015,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Sophomore,5,Bike,No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,1,1,1,0,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
71,71,83002021,Full-time,Full-time,Off campus,19 hours or less,2,1,"$40,000 to $49,999",Junior,5,Bike,No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2019,1,1,1,1,0,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
77,77,83002034,Full-time,Part-time,NA,NA,2,4,"$30,000 to $39,999",Senior,5,Bus/Public transportation,No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
78,78,83002035,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Scholarship,No,Often,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
79,79,83002036,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Senior,3,Car (alone),Yes,NA,No,On campus,Work-study,No,Sometimes,Yes,2019,0,1,0,NA,1,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
81,81,83002038,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
82,82,83002039,Full-time,Part-time,NA,NA,2,1,"$40,000 to $49,999",Senior,7,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA
83,83,83002040,Full-time,Full-time,On campus,More than 19 hours,2,1,NA,Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
84,84,83002041,Part-time,Full-time,Off campus,More than 19 hours,3,1,"Less than $10,000",Senior,1,Trolley,No,None,No,Off campus with partner,Work-study,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
87,87,83002048,Full-time,Full-time,On campus,19 hours or less,2,1,"Less than $10,000",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,1,0,1,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
89,89,83002050,Part-time,Full-time,On campus,More than 19 hours,2,1,"$10,000 to $19,999",Graduate (Masters),5,"Not applicable (live on-campus, don’t commute)",Yes,NA,No,Off campus with partner,Loans,Yes,NA,No,2019,0,0,1,0,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
90,90,83002051,Full-time,Full-time,On campus,19 hours or less,2,3,"Less than $10,000",Senior,5,Bus/Public transportation,No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
99,99,83002063,Full-time,Full-time,On campus,19 hours or less,2,1,"$40,000 to $49,999",Sophomore,6,Bike,No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2019,0,1,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
100,100,83002064,Full-time,Full-time,On campus,19 hours or less,2,1,"$20,000 to $29,999",Senior,3,Other,Yes,NA,Yes,Off campus with partner,Grants,Yes,NA,No,2019,0,1,0,NA,1,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
101,101,83002065,Full-time,Full-time,On campus,More than 19 hours,3,1,"$20,000 to $29,999",Graduate (Masters),1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
102,102,83002066,Full-time,Full-time,On campus,19 hours or less,2,3,"$40,000 to $49,999",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2019,0,1,1,1,1,1,5,NA,Very Low FS,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
103,103,83002067,Full-time,Full-time,On campus,19 hours or less,2,1,"$20,000 to $29,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
104,104,83002068,Full-time,Part-time,NA,NA,2,1,"$10,000 to $19,999",Senior,1,Bus/Public transportation,No,None,No,Off campus with partner,Grants,No,Often,No,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
112,112,83002079,Full-time,Full-time,On campus,19 hours or less,2,1,"Less than $10,000",Senior,6,Bus/Public transportation,No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
114,114,83002083,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$10,000 to $19,999",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with partner,Loans,Yes,NA,No,2019,1,1,1,1,1,0,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
116,116,83002093,Full-time,Full-time,Off campus,19 hours or less,2,1,"Less than $10,000",Doctoral,8,Bus/Public transportation,No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA
118,118,83002097,Full-time,Part-time,NA,NA,3,5,"Less than $10,000",Senior,6,Trolley,No,2,Yes,Off campus with partner,Scholarship,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
123,123,83002104,Full-time,Full-time,Off campus,19 hours or less,2,1,"$20,000 to $29,999",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,1,1,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
124,124,83002106,Full-time,Full-time,Off campus,More than 19 hours,4,1,"$20,000 to $29,999",Senior,5,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Loans,Yes,NA,No,2019,0,1,1,0,1,0,3,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
127,127,83002113,Full-time,Part-time,NA,NA,2,1,"$10,000 to $19,999",Junior,3,Trolley,No,None,No,Off campus with parents,Grants,No,Sometimes,Yes,2019,0,1,1,1,1,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
128,128,83002115,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$30,000 to $39,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
133,133,83002124,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$40,000 to $49,999",Senior,4,Car (someone drives to campus and picks you up),No,None,No,Off campus with partner,Loans,Yes,NA,No,2019,1,1,1,1,0,0,4,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
134,134,83002125,Part-time,Full-time,Off campus,19 hours or less,2,1,"$30,000 to $39,999",Graduate (Masters),3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
135,135,83002126,Part-time,Part-time,NA,NA,2,1,"$10,000 to $19,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
138,138,83002133,Full-time,Full-time,On campus,19 hours or less,2,1,"Less than $10,000",Senior,6,Trolley,No,1,No,Off campus with parents,Scholarship,Yes,NA,No,2019,0,1,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
145,145,83002142,Part-time,Full-time,On campus,19 hours or less,3,1,"$40,000 to $49,999",Doctoral,6,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with partner,Loans,Yes,NA,Yes,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
147,147,83002144,Full-time,Full-time,On campus,More than 19 hours,2,1,"$10,000 to $19,999",Senior,4,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Scholarship,Yes,NA,Yes,2019,1,1,1,0,1,0,4,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
148,148,83002146,Full-time,Part-time,NA,NA,2,1,"Less than $10,000",Junior,5,Trolley,Yes,NA,No,On campus,Scholarship,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
149,149,83002148,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$10,000 to $19,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Scholarship,Yes,NA,Yes,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
151,151,83002152,Full-time,Part-time,NA,NA,2,3,"Less than $10,000",Junior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
155,155,83002161,Full-time,Part-time,NA,NA,2,1,"Less than $10,000",Sophomore,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,1,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
156,156,83002163,Full-time,Full-time,On campus,19 hours or less,2,1,"$40,000 to $49,999",Senior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with partner,Work-study,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
158,158,83002165,Part-time,Part-time,NA,NA,3,1,"Less than $10,000",Graduate (Masters),2,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Scholarship,No,Sometimes,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
162,162,83002172,Full-time,Part-time,NA,NA,3,1,"Less than $10,000",Senior,5,Car (alone),No,1,Yes,On campus,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
163,163,83002176,Full-time,Full-time,Off campus,19 hours or less,2,6,"$40,000 to $49,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
164,164,83002177,Full-time,Full-time,Off campus,More than 19 hours,3,1,"$20,000 to $29,999",Junior,2,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2019,1,1,0,NA,0,1,3,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
167,167,83002181,Full-time,Full-time,Off campus,More than 19 hours,2,1,"Less than $10,000",Sophomore,4,Other,No,None,No,Off campus with partner,Work-study,No,NA,No,2019,1,1,1,0,1,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
173,173,83002198,Part-time,Full-time,Off campus,More than 19 hours,2,1,"$30,000 to $39,999",Senior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
174,174,83002199,Full-time,Part-time,NA,NA,2,1,"$30,000 to $39,999",Junior,5,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
